"placa metálica, balde e tubo"("metal plate, bucket, and pipe","placa metálica, cubo y tubo",5379)
2 bolsas(2 bags,2 bolsas)
gap between the machines(gap between the machines,hueco entre las máquinas)
gap(gap,hueco)
gate(gate,portón)
gathered pebbles(gathered pebbles,montón de guijarros)
medidor e painel de controle(gauge and control panel,indicador y panel de mando)
glass case(glass case,funda de cristal)
glowing floor(glowing floor,suelo fulgente)
glowing machine(glowing machine,máquina fulgente)
glowing object(glowing object,objeto fulgente)
glowing panel(glowing panel,panel fulgente)
glowing red plant(glowing red plant,planta roja fulgente)
glowing sap(glowing sap,savia fulgente)
goods(goods,mercancías)
grass(grass,hierba)
grate(grate,rejilla)
grave(grave,tumba)
green shield(green shield,escudo verde)
guitar(guitar,guitarra)
hammer and worktable(hammer and worktable,martillo y mesa de trabajo)
hammer(hammer,martillo)
hanger rack(hanger rack,perchero)
harpoon(harpoon,arpón)
hatchet(hatchet,hachuela)
helmet and bag(helmet and bag,casco y bolsa)
helmet(helmet,casco)
hole in the ground(hole in the ground,orificio en el suelo)
hole in the tree(hole in the tree,orificio en el árbol)
hole in the wall(hole in the wall,orificio en la pared)
hole(hole,orificio)
hollow(hollow,hoyo)
home's window(home's window,ventana de casa)
horn(horn,cuerno)
hose on the floor(hose on the floor,manguera en el suelo)
hose(hose,manguera)
house's window(house's window,ventana de la casa)
houseplant(houseplant,planta de interior)
huge bullet(huge bullet,bala enorme)
huge mace(huge mace,maza enorme)
huge trident(huge trident,tridente enorme)
ice mound(ice mound,montón de hielo)
inside of a dead tree(inside of a dead tree,interior de árbol marchito)
instrument(instrument,instrumento)
iron frame(iron frame,estructura de hierro)
iron plate and wooden box(iron plate and wooden box,placa de hierro y caja de madera)
iron plate(iron plate,placa de hierro)
kebab(kebab,pincho moruno)
kiln(kiln,horno)
kitchen counter(kitchen counter,encimera)
kitchen utensils(kitchen utensils,utensilios de cocina)
kitchen(kitchen,cocina)
knife(knife,cuchillo)
ladder(ladder,escalera)
ladle(ladle,cazo)
lamp(lamp,lámpara)
lantern and bag(lantern and bag,farol y bolsa)
lantern and vase(lantern and vase,farol y jarrón)
large fan(large fan,ventilador grande)
large sword(large sword,espada grande)
large wood(large wood,tabla grande)
laser emitter(laser emitter,emisor láser)
light stand(light stand,lámpara)
light switch(light switch,interruptor de la luz)
light(light,luz)
lobster(lobster,langosta)
log from the bridge post(log from the bridge post,tronco del poste del puente)
machine arm(machine arm,brazo mecánico)
machine embedded in the wall(machine embedded in the wall,máquina incrustada en la pared)
machine on the wall(machine on the wall,máquina en la pared)
machine with buttons(machine with buttons,máquina con botones)
machine(machine,máquina)
machinery(machinery,maquinaria)
manhole(manhole,alcantarilla)
many books(many books,muchos libros)
many flowerpots(many flowerpots,muchas macetas)
map(map,mapa)
mask(mask,máscara)
mat(mat,tapete)
meat dish(meat dish,plato de carne)
meat(meat,carne)
mechat(mechat,mecóptero)
medical instrument(medical instrument,instrumental médico)
memo board(memo board,tablón de notas)
menu(menu,menú)
messy bed(messy bed,cama deshecha)
metal bar(metal bar,barra metálica)
metal barrel(metal barrel,barril metálico)
microphone(microphone,micrófono)
milk can(milk can,envase de leche)
mirror(mirror,espejo)
monitor(monitor,monitor)
mound(mound,montón)
mounted weapon(mounted weapon,arma acoplada)
mural(mural,mural)
mushroom(mushroom,champiñón)
muzzle(muzzle,bozal)
net(net,red)
notice(notice,anuncio)
observatory(observatory,observatorio)
office desk(office desk,mesa de oficina)
old axe(old axe,hacha vieja)
old shield(old shield,escudo viejo)
old spear(old spear,lanza vieja)
open wooden box(open wooden box,caja de madera abierta)
outlet(outlet,enchufe)
oven(oven,horno)
package(package,paquete)
painting(painting,cuadro)
palm tree(palm tree,palmera)
panel next to the door(panel next to the door,panel junto a la puerta)
panel(panel,panel)
parasol(parasol,sombrilla)
partition(partition,partición)
parts(parts,piezas)
passenger seat(passenger seat,asiento de pasajero)
pasture(pasture,prado)
pebbles(pebbles,guijarros)
piano(piano,piano)
pickaxe(pickaxe,pico)
pickle(pickle,pepinillo)
picture frame(picture frame,marco de foto)
piece of hot-air balloon(piece of hot-air balloon,pieza de globo aerostático)
pile of bags(pile of bags,montón de bolsas)
pile of barrels(pile of barrels,montón de barriles)
pile of books(pile of books,montón de libros)
pillar(pillar,pilar)
pillow(pillow,almohada)
tubo de maquinaria antiga(pipe from ancient machinery,tubo de maquinaria ancestral)
tubo da maquinaria antiga(pipe from the ancient machinery,tubo de la maquinaria ancestral)
tubo próximo(pipe near you,tubo cercano)
tubo com válvula(pipe with a valve,tubo con válvula)
tubo(pipe,tubo)
tubos e barril(pipes and barrel,tubos y barril)
tubos(pipes,tubos)
piston(piston,pistón)
pitcher and small container(pitcher and small container,jarra y recipiente pequeño)
pitcher and vase(pitcher and vase,jarra y jarrón)
pitcher(pitcher,jarra)
plank(plank,tabla)
plant and decoration(plant and decoration,plata y decoración)
plant(plant,planta)
plate(plate,placa)
platform(platform,plataforma)
pointy rock(pointy rock,roca afilada)
pole(pole,mástil)
pond bank(pond bank,banco de estanque)
pond(pond,estanque)
portrait of King Jibral(portrait of King Jibral,retrato del rey Yibral)
portrait of Kluke(portrait of Kluke,retrato de Kluke)
post(post,poste)
postbox(postbox,buzón)
postcard(postcard,postal)
pot(pot,olla)
potted plant(potted plant,planta en tiesto)
power supply(power supply,suministro eléctrico)
projection(projection,proyección)
pumpkin(pumpkin,calabaza)
purple flower(purple flower,flor púrpura)
red flower(red flower,flor roja)
red fruit(red fruit,fruta roja)
red shield(red shield,escudo rojo)
reinforcement board(reinforcement board,tablero de refuerzo)
remains of a campfire(remains of a campfire,restos de una fogata)
remains of a hut(remains of a hut,restos de una cabaña)
riverbank(riverbank,ribera)
roast beef(roast beef,asado)
rock(rock,roca)
rocks(rocks,rocas)
rolled cloth(rolled cloth,tela enrollada)
rolled-up blanket(rolled-up blanket,manta enrollada)
rolling pin(rolling pin,rodillo)
roots(roots,raíces)
rope and trap(rope and trap,cuerda y trampa)
rope bridge post(rope bridge post,poste del puente de cuerda)
rope(rope,cuerda)
round chair(round chair,silla redonda)
rug(rug,alfombra)
ruin(ruin,ruinas)
saw(saw,sierra)
scarecrow(scarecrow,espantapájaros)
scattered books(scattered books,libros esparcidos)
sculpture(sculpture,escultura)
seasoning(seasoning,condimento)
shelf above the chair(shelf above the chair,estante sobre la silla)
shelf and 2 tubos(shelf and 2 pipes,estante y 2 tubos)
shelf and tools(shelf and tools,estante y herramientas)
shelf(shelf,estante)
shield and helmet(shield and helmet,escudo y casco)
shield on the wall(shield on the wall,escudo en la pared)
shield(shield,escudo)
shovel(shovel,pala)
showcase(showcase,vitrina)
shrub(shrub,matorral)
shutter(shutter,persiana)
side of the decoration(side of the decoration,lateral del adorno)
sign(sign,señal)
signal light(signal light,señal luminosa)
sink(sink,fregadero)
sled(sled,trineo)
sleeping bag(sleeping bag,saco de dormir)
small blue box(small blue box,caja azul pequeña)
small box(small box,caja pequeña)
small container(small container,recipiente pequeño)
small crater(small crater,cráter pequeño)
small drawer(small drawer,cajón pequeño)
small fan(small fan,ventilador pequeño )
small objects(small objects,objetos pequeños)
small shelf(small shelf,estante pequeño)
small table(small table,mesa pequeña)
small tub(small tub,barreño pequeño)
small vase(small vase,jarrón pequeño)
small wooden box(small wooden box,caja de madera pequeña)
snow pile(snow pile,montón de nieve)
snow(snow,nieve)
snowman(snowman,muñeco de nieve)
sofa(sofa,sofá)
soup(soup,sopa)
space between the stones(space between the stones,hueco entre las piedras)
space under the bed(space under the bed,hueco bajo la cama)
space under the bench(space under the bench,hueco bajo el banco)
space under the chair(space under the chair,hueco bajo la silla)
spear(spear,lanza)
spiked wheel(spiked wheel,rueda con pinchos)
stable(stable,establo)
stack of wooden boxes(stack of wooden boxes,pila de cajas de madera)
stairs(stairs,escaleras)
stand(stand,pie)
statue(statue,estatua)
steel helmet(steel helmet,casco de acero)
steel wheel(steel wheel,rueda de acero)
stepladder(stepladder,escalera de mano)
stew and stove(stew and stove,guiso y fogón)
stone lamp(stone lamp,lámpara de piedra)
stone monument(stone monument,monumento de piedra)
stone(stone,piedra)
storage(storage,almacén)
stove(stove,fogón)
strainer(strainer,colador)
tubo estranho(strange pipe,tubo extraño)
streetlight(streetlight,farola)
suitcase(suitcase,maleta)
support stone(support stone,piedra de apoyo)
switch(switch,interruptor)
switchboard(switchboard,centralita)
sword above the chair(sword above the chair,espada sobre la silla)
sword(sword,espada)
table and chairs(table and chairs,mesa y sillas)
table(table,mesa)
tabletop(tabletop,superficie de mesa)
tabletop(tabletop,tablero)
tableware set(tableware set,vajilla)
tank(tank,tanque)
tart(tart,tarta)
tea set(tea set,juego de té)
temporary floorboard(temporary floorboard,tabla temporal)
tent stake(tent stake,piqueta)
terrine(terrine,terrina)
tubo fino(thin pipe,tubo fino)
tip of the watchtower(tip of the watchtower,vértice de la atalaya)
toilet(toilet,retrete)
tongs(tongs,pinzas)
tool box(tool box,caja de herramientas)
tool rack(tool rack,organizador)
tool storage(tool storage,almacén de herramientas)
tools and big tub(tools and big tub,herramientas y barreño grande)
top of the shelf(top of the shelf,superficie del estante)
torch pedestal(torch pedestal,pedestal de antorcha)
torch(torch,antorcha)
towel hanger(towel hanger,toallero)
towel(towel,toalla)
toy box(toy box,caja de juguetes)
tractor(tractor,tractor)
tray(tray,bandeja)
treasure chest(treasure chest,cofre del tesoro)
tree and pebbles(tree and pebbles,árbol y guijarros)
tree root(tree root,raíz de árbol)
tree roots(tree roots,raíces de árbol)
tree(tree,árbol)
trout(trout,trucha)
tub(tub,barreño)
tunnel(tunnel,túnel)
turkey(turkey,pavo)
underside of the bridge(underside of the bridge,debajo del puente)
unfinished dish(unfinished dish,plato sin terminar)
unknown parts(unknown parts,piezas desconocidas)
vase and bag(vase and bag,jarrón y bolsa)
vase and bucket(vase and bucket,jarrón y cubo)
vase and shelf(vase and shelf,jarrón y estante)
vase and strainer(vase and strainer,jarrón y colador)
vase and wooden box(vase and wooden box,jarrón y caja de madera)
vase holding a weapon(vase holding a weapon,jarrón con un arma)
vase on the shelf(vase on the shelf,jarrón en el estante)
vase with a broom inside(vase with a broom inside,jarrón con una escoba dentro)
vase with a scroll inside(vase with a scroll inside,jarrón con un pergamino)
vase(vase,jarrón)
vegetable(vegetable,verdura)
vent(vent,respiradero)
ventilation hole(ventilation hole,orificio de ventilación)
ventilator(ventilator,ventilador)
wall decoration(wall decoration,decoración de muro)
wall panel(wall panel,panel de pared)
wall shelf(wall shelf,estante de pared)
wall surface(wall surface,superficie de la pared)
wall(wall,muro)
wallet(wallet,cartera)
wardrobe(wardrobe,ropero)
washing space(washing space,lavadero)
water fountain post(water fountain post,poste de fuente)
water fountain(water fountain,fuente)
waterfall basin(waterfall basin,poza de catarata)
watering can and wooden box(watering can and wooden box,regadera y caja de madera)
waterwheel(waterwheel,rueda hidráulica)
weapon rack(weapon rack,armero)
weapon(weapon,arma)
weird metal(weird metal,metal extraño)
well lid(well lid,tapa de pozo)
well(well,pozo)
wheel(wheel,rueda)
wheelbarrow(wheelbarrow,carretilla)
whiteboard(whiteboard,pizarra)
winch(winch,torno)
windmill post(windmill post,poste de molino)
windmill well(windmill well,pozo de molino)
window(window,ventana)
wine bottle(wine bottle,botella de vino)
wood(wood,madera)
wooden bench(wooden bench,banco de madera)
caixa de madeira and bag(wooden box and bag,caja de madera y bolsa)
caixa de madeira and barrel(wooden box and barrel,caja de madera y barril)
caixa de madeira and barrel(wooden box and barrel,caja y barril de madera)
caixa de madeira and other objects(wooden box and other objects,caja de madera y otros objetos)
caixa de madeira e tubos(wooden box and pipes,caja de madera y tubos)
caixa de madeira and tub(wooden box and tub,caja de madera y barreño)
caixa de madeira and tub(wooden box and tub,caja y balde de madera)
caixa de madeira inside of the fence(wooden box inside of the fence,caja de madera detrás de la valla)
caixa de madeira with a handle(wooden box with a handle,caja de madera con asa)
caixa de madeira with open lid(wooden box with open lid,caja de madera con tapa abierta)
caixa de madeira(wooden box,caja de madera)
caixas de madeira(wooden boxes,cajas de madera)
wooden container(wooden container,contenedor de madera)
wooden cover(wooden cover,cubierta de madera)
wooden figurine(wooden figurine,figurita de madera)
worktable and wooden box(worktable and wooden box,mesa de trabajo y caja de madera)
worktable(worktable,mesa de trabajo)
wreckage(wreckage,restos)
yellow flower(yellow flower,flor amarilla)
